queries,accuracy,type,privacy
0,10,0,0
1000,26.7,knockoff,0
2000,25.7,knockoff,0
3000,36.9,knockoff,0
4000,40.3,knockoff,0
5000,32.0,knockoff,0
6000,46.8,knockoff,0
7000,52.0,knockoff,0
8000,57.4,knockoff,0
9000,58.2,knockoff,0
10000,58.4,knockoff,0
11000,64.9,knockoff,0
12000,63.6,knockoff,0
13000,61.4,knockoff,0
14000,68.4,knockoff,0
15000,68.2,knockoff,0
16000,70.1,knockoff,0
17000,69.5,knockoff,0
18000,69.0,knockoff,0
19000,71.9,knockoff,0
20000,71.7,knockoff,0
21000,71.3,knockoff,0
22000,72.6,knockoff,0
23000,72.5,knockoff,0
24000,74.8,knockoff,0
25000,75.6,knockoff,0
26000,74.4,knockoff,0
27000,74.7,knockoff,0
28000,75.3,knockoff,0
29000,72.9,knockoff,0
30000,75.5,knockoff,0
31000,75.2,knockoff,0
32000,76.5,knockoff,0
33000,76.9,knockoff,0
34000,76.5,knockoff,0
35000,77.0,knockoff,0
36000,76.9,knockoff,0
37000,76.3,knockoff,0
38000,76.8,knockoff,0
39000,77.6,knockoff,0
40000,78.4,knockoff,0
41000,78.0,knockoff,0
42000,78.1,knockoff,0
43000,77.6,knockoff,0
44000,79.3,knockoff,0
45000,77.7,knockoff,0
46000,79.0,knockoff,0
47000,79.1,knockoff,0
48000,80.7,knockoff,0
49000,80.6,knockoff,0
50000,79.6,knockoff,0
