queries,accuracy,type,privacy
0,10,0,0
1000,26.3,knockoff,0
2000,24.9,knockoff,0
3000,35.6,knockoff,0
4000,39.9,knockoff,0
5000,31.6,knockoff,0
6000,45.9,knockoff,0
7000,52.0,knockoff,0
8000,56.7,knockoff,0
9000,58.0,knockoff,0
10000,57.2,knockoff,0
11000,63.6,knockoff,0
12000,62.9,knockoff,0
13000,60.0,knockoff,0
14000,67.1,knockoff,0
15000,67.6,knockoff,0
16000,68.7,knockoff,0
17000,68.3,knockoff,0
18000,67.7,knockoff,0
19000,71.1,knockoff,0
20000,70.1,knockoff,0
21000,70.3,knockoff,0
22000,71.8,knockoff,0
23000,71.9,knockoff,0
24000,73.7,knockoff,0
25000,74.2,knockoff,0
26000,73.4,knockoff,0
27000,73.6,knockoff,0
28000,73.9,knockoff,0
29000,71.7,knockoff,0
30000,74.1,knockoff,0
31000,74.2,knockoff,0
32000,75.3,knockoff,0
33000,75.2,knockoff,0
34000,75.2,knockoff,0
35000,75.7,knockoff,0
36000,75.7,knockoff,0
37000,75.2,knockoff,0
38000,76.2,knockoff,0
39000,76.7,knockoff,0
40000,77.2,knockoff,0
41000,76.8,knockoff,0
42000,76.8,knockoff,0
43000,76.3,knockoff,0
44000,77.9,knockoff,0
45000,76.6,knockoff,0
46000,77.7,knockoff,0
47000,77.9,knockoff,0
48000,78.9,knockoff,0
49000,78.8,knockoff,0
50000,78.4,knockoff,0
