queries,type,entropy
0,0,0
1000,knockoff,191.35748291015625
2000,knockoff,375.60923767089844
3000,knockoff,557.2734680175781
4000,knockoff,753.4802856445312
5000,knockoff,934.8489685058594
6000,knockoff,1123.2339782714844
7000,knockoff,1312.4178924560547
8000,knockoff,1498.7093658447266
9000,knockoff,1686.2375183105469
10000,knockoff,1873.7508850097656
11000,knockoff,2061.6178588867188
12000,knockoff,2257.0523681640625
13000,knockoff,2443.6248474121094
14000,knockoff,2623.6522216796875
15000,knockoff,2816.7378692626953
16000,knockoff,3006.6917724609375
17000,knockoff,3194.2042236328125
18000,knockoff,3381.864288330078
19000,knockoff,3576.341094970703
20000,knockoff,3759.933883666992
21000,knockoff,3953.137725830078
22000,knockoff,4136.208511352539
23000,knockoff,4328.884185791016
24000,knockoff,4521.329925537109
25000,knockoff,4720.233596801758
26000,knockoff,4918.529373168945
27000,knockoff,5110.713455200195
28000,knockoff,5300.123611450195
29000,knockoff,5489.9208984375
30000,knockoff,5670.079406738281
31000,knockoff,5853.621643066406
32000,knockoff,6039.597412109375
33000,knockoff,6226.573699951172
34000,knockoff,6411.470932006836
35000,knockoff,6593.6756591796875
36000,knockoff,6785.497985839844
37000,knockoff,6970.807479858398
38000,knockoff,7163.934646606445
39000,knockoff,7349.400497436523
40000,knockoff,7542.886779785156
41000,knockoff,7741.237487792969
42000,knockoff,7930.50244140625
43000,knockoff,8113.631774902344
44000,knockoff,8306.468872070312
45000,knockoff,8496.242279052734
46000,knockoff,8686.283477783203
47000,knockoff,8889.297119140625
48000,knockoff,9078.029296875
49000,knockoff,9265.61801147461
50000,knockoff,9456.2353515625
