queries,type,gap
0,0,0
1000,knockoff,245.39178466796875
2000,knockoff,482.14910888671875
3000,knockoff,714.2055969238281
4000,knockoff,920.5204772949219
5000,knockoff,1152.2706604003906
6000,knockoff,1393.8511047363281
7000,knockoff,1619.3717956542969
8000,knockoff,1858.9765167236328
9000,knockoff,2090.1795806884766
10000,knockoff,2325.0101165771484
11000,knockoff,2571.928970336914
12000,knockoff,2794.652084350586
13000,knockoff,3023.0177307128906
14000,knockoff,3248.857467651367
15000,knockoff,3481.9330291748047
16000,knockoff,3713.0084075927734
17000,knockoff,3941.4484252929688
18000,knockoff,4166.115737915039
19000,knockoff,4393.681777954102
20000,knockoff,4620.818817138672
21000,knockoff,4839.848175048828
22000,knockoff,5055.535552978516
23000,knockoff,5293.556060791016
24000,knockoff,5533.288757324219
25000,knockoff,5776.1197509765625
26000,knockoff,6006.994705200195
27000,knockoff,6245.002914428711
28000,knockoff,6476.659774780273
29000,knockoff,6705.806304931641
30000,knockoff,6924.063415527344
31000,knockoff,7151.789703369141
32000,knockoff,7387.9805908203125
33000,knockoff,7608.94563293457
34000,knockoff,7830.619613647461
35000,knockoff,8058.494369506836
36000,knockoff,8307.58740234375
37000,knockoff,8531.598175048828
38000,knockoff,8762.870391845703
39000,knockoff,8988.391479492188
40000,knockoff,9220.443908691406
41000,knockoff,9462.251342773438
42000,knockoff,9700.887420654297
43000,knockoff,9937.242630004883
44000,knockoff,10175.473495483398
45000,knockoff,10398.874404907227
46000,knockoff,10634.500061035156
47000,knockoff,10864.438339233398
48000,knockoff,11101.491592407227
49000,knockoff,11327.641632080078
50000,knockoff,11563.298034667969
