queries,type,pknn
0,0,0
1000,knockoff,7.411535805143714
2000,knockoff,12.57993215657945
3000,knockoff,18.023826662701822
4000,knockoff,23.62406622093785
5000,knockoff,29.220630040200064
6000,knockoff,34.464067116291574
7000,knockoff,39.07059284203315
8000,knockoff,44.01942266360237
9000,knockoff,48.64167610756528
10000,knockoff,52.87923590095329
11000,knockoff,58.24423088500367
12000,knockoff,62.553807445478505
13000,knockoff,67.23600005097649
14000,knockoff,71.42838370075746
15000,knockoff,76.42809450910131
16000,knockoff,80.97839989910968
17000,knockoff,85.3073526331664
18000,knockoff,89.83249426805929
19000,knockoff,94.19775792283946
20000,knockoff,98.82321132161329
21000,knockoff,103.5352503483238
22000,knockoff,108.63448767571111
23000,knockoff,113.85035958524733
24000,knockoff,119.27549768664073
25000,knockoff,124.81140749482725
26000,knockoff,129.63091476247914
27000,knockoff,134.55660090289032
28000,knockoff,139.38770429370206
29000,knockoff,144.1612257396906
30000,knockoff,148.22649729338406
31000,knockoff,152.5593795073947
32000,knockoff,156.95998648295424
33000,knockoff,161.24374774169277
34000,knockoff,166.18563883249533
35000,knockoff,170.62086148134912
36000,knockoff,175.3677476239396
37000,knockoff,179.71327629077297
38000,knockoff,184.4350789380403
39000,knockoff,189.085092542971
40000,knockoff,193.28880706251036
41000,knockoff,197.97304339152572
42000,knockoff,202.58612721060976
43000,knockoff,206.7919039540761
44000,knockoff,211.2143808575453
45000,knockoff,215.5399210903897
46000,knockoff,220.25074262423618
47000,knockoff,224.99305027012286
48000,knockoff,229.61418699230308
49000,knockoff,234.09454025641816
50000,knockoff,238.24457324319184
