queries,accuracy,type,privacy
0,10,0,0
1000,59.65,knockoff,0
2000,86.9,knockoff,0
3000,93.41,knockoff,0
4000,95.2,knockoff,0
5000,97.01,knockoff,0
6000,97.67,knockoff,0
7000,97.82,knockoff,0
8000,98.15,knockoff,0
9000,98.44,knockoff,0
10000,98.65,knockoff,0
11000,98.73,knockoff,0
12000,98.8,knockoff,0
13000,98.88,knockoff,0
14000,98.93,knockoff,0
15000,99.06,knockoff,0
16000,99.13,knockoff,0
17000,99.15,knockoff,0
18000,99.17,knockoff,0
19000,99.27,knockoff,0
20000,99.26,knockoff,0
21000,99.28,knockoff,0
