queries,accuracy,type,privacy
0,10,0,0
1000,59.56,knockoff,0
2000,86.77,knockoff,0
3000,93.32,knockoff,0
4000,95.03,knockoff,0
5000,96.86,knockoff,0
6000,97.49,knockoff,0
7000,97.65,knockoff,0
8000,97.97,knockoff,0
9000,98.21,knockoff,0
10000,98.39,knockoff,0
11000,98.47,knockoff,0
12000,98.57,knockoff,0
13000,98.64,knockoff,0
14000,98.66,knockoff,0
15000,98.8,knockoff,0
16000,98.85,knockoff,0
17000,98.89,knockoff,0
18000,98.89,knockoff,0
19000,98.95,knockoff,0
20000,98.96,knockoff,0
21000,99.01,knockoff,0
