queries,type,entropy
0,0,0
1000,knockoff,457.4328918457031
2000,knockoff,905.5362854003906
3000,knockoff,1365.3544006347656
4000,knockoff,1814.8672485351562
5000,knockoff,2272.373291015625
6000,knockoff,2718.9924926757812
7000,knockoff,3173.1828002929688
8000,knockoff,3633.7100830078125
9000,knockoff,4099.136901855469
10000,knockoff,4554.731140136719
11000,knockoff,5013.172576904297
12000,knockoff,5467.943695068359
13000,knockoff,5925.496734619141
14000,knockoff,6385.3311767578125
15000,knockoff,6843.070983886719
16000,knockoff,7298.806701660156
17000,knockoff,7753.935363769531
18000,knockoff,8205.120697021484
19000,knockoff,8655.065338134766
20000,knockoff,9103.693389892578
21000,knockoff,9550.794464111328
22000,knockoff,10004.93701171875
