queries,type,gap
0,0,0
1000,knockoff,467.7143859863281
2000,knockoff,924.1513366699219
3000,knockoff,1392.0233459472656
4000,knockoff,1854.1985778808594
5000,knockoff,2328.2277221679688
6000,knockoff,2786.2818603515625
7000,knockoff,3257.037872314453
8000,knockoff,3722.0534057617188
9000,knockoff,4190.657958984375
10000,knockoff,4655.6466064453125
11000,knockoff,5129.422576904297
12000,knockoff,5587.759735107422
13000,knockoff,6049.5421142578125
14000,knockoff,6525.694061279297
15000,knockoff,6994.649017333984
16000,knockoff,7455.262054443359
17000,knockoff,7922.310089111328
18000,knockoff,8381.500427246094
19000,knockoff,8844.378692626953
20000,knockoff,9292.89956665039
21000,knockoff,9745.998016357422
22000,knockoff,10206.624542236328
