queries,type,pknn
0,0,0
1000,knockoff,10.301793124391308
2000,knockoff,16.682381351169266
3000,knockoff,22.456103435112492
4000,knockoff,27.48413880811313
5000,knockoff,32.52658887992337
6000,knockoff,37.935760459108046
7000,knockoff,42.75958737258634
8000,knockoff,47.014623743966645
9000,knockoff,52.151772755062254
10000,knockoff,56.377233972510446
11000,knockoff,60.970749767086986
12000,knockoff,65.41254110503527
13000,knockoff,69.95189035851111
14000,knockoff,74.57281499491818
15000,knockoff,79.13974620805149
16000,knockoff,83.66975118223759
17000,knockoff,87.61408727549733
18000,knockoff,91.88975498661372
19000,knockoff,96.33071532484176
20000,knockoff,101.38409932053187
21000,knockoff,106.15348672020366
22000,knockoff,110.11033058199885
